iter	Passed	Remaining
0	175	105015
1	238	71327
2	302	60245
3	367	54748
4	431	51405
5	494	48914
6	558	47309
7	623	46169
8	687	45127
9	751	44358
10	814	43629
11	879	43117
12	948	42847
13	1013	42407
14	1079	42117
15	1142	41687
16	1204	41303
17	1268	41021
18	1334	40812
19	1402	40664
20	1468	40483
21	1530	40201
22	1593	39984
23	1661	39884
24	1727	39726
25	1785	39427
26	1848	39230
27	1909	39015
28	1970	38792
29	2030	38580
30	2089	38351
31	2150	38165
32	2212	38008
33	2273	37841
34	2338	37754
35	2400	37603
36	2458	37408
37	2519	37259
38	2583	37159
39	2648	37085
40	2714	37016
41	2776	36894
42	2840	36793
43	2904	36696
44	2958	36484
45	3018	36358
46	3080	36249
47	3139	36099
48	3203	36018
49	3267	35941
50	3333	35887
51	3397	35807
52	3455	35667
53	3517	35562
54	3578	35458
55	3640	35364
56	3702	35267
57	3761	35148
58	3820	35028
59	3886	34978
60	3951	34917
61	4008	34787
62	4071	34707
63	4132	34611
64	4194	34526
65	4257	34450
66	4317	34348
67	4378	34256
68	4446	34215
69	4505	34116
70	4565	34017
71	4630	33954
72	4691	33868
73	4755	33801
74	4815	33710
75	4877	33631
76	4941	33564
77	4999	33458
78	5063	33391
79	5121	33291
80	5179	33189
81	5237	33087
82	5294	32981
83	5358	32915
84	5417	32823
85	5475	32728
86	5535	32639
87	5596	32561
88	5649	32438
89	5713	32375
90	5772	32289
91	5835	32221
92	5896	32144
93	5958	32074
94	6023	32019
95	6084	31941
96	6145	31867
97	6203	31776
98	6265	31709
99	6325	31626
100	6384	31545
101	6444	31466
102	6503	31382
103	6562	31300
104	6620	31210
105	6681	31136
106	6742	31066
107	6803	30994
108	6866	30929
109	6925	30850
110	6986	30777
111	7045	30696
112	7109	30640
113	7141	30445
114	7198	30360
115	7260	30294
116	7322	30229
117	7385	30168
118	7447	30104
119	7508	30032
120	7564	29945
121	7619	29852
122	7677	29772
123	7735	29695
124	7792	29611
125	7849	29528
126	7907	29449
127	7967	29381
128	8029	29318
129	8090	29248
130	8153	29191
131	8221	29148
132	8290	29111
133	8352	29047
134	8414	28982
135	8479	28930
136	8544	28875
137	8601	28797
138	8668	28747
139	8736	28705
140	8803	28659
141	8869	28606
142	8937	28562
143	8997	28491
144	9059	28429
145	9120	28362
146	9184	28303
147	9248	28245
148	9309	28177
149	9371	28114
150	9435	28056
151	9495	27985
152	9555	27916
153	9612	27839
154	9671	27765
155	9725	27681
156	9773	27576
157	9834	27512
158	9894	27442
159	9952	27368
160	10009	27293
161	10068	27223
